id,language,sentence,tokenized_sentence,expression,category,indices
synth_literal_ortaya atmak_1,tr,Sınavda ortaya atmak deyimini açıklaması istendi.,"['Sınavda', 'ortaya', 'atmak', 'deyimini', 'açıklaması', 'istendi.']",ortaya atmak,literal,"[1, 2]"
synth_idiomatic_öne sürmek_0,tr,Onlar hep öne sürmek gibi davranıyor.,"['Onlar', 'hep', 'öne', 'sürmek', 'gibi', 'davranıyor.']",öne sürmek,idiomatic,"[2, 3]"
synth_idiomatic_öne sürmek_1,tr,öne sürmek yüzünden tartışma çıktı.,"['öne', 'sürmek', 'yüzünden', 'tartışma', 'çıktı.']",öne sürmek,idiomatic,"[0, 1]"
synth_literal_öne sürmek_0,tr,öne sürmek kelimesini sözlükte aradı.,"['öne', 'sürmek', 'kelimesini', 'sözlükte', 'aradı.']",öne sürmek,literal,"[0, 1]"
synth_literal_öne sürmek_1,tr,Öğretmen öne sürmek örneğini tahtaya yazdı.,"['Öğretmen', 'öne', 'sürmek', 'örneğini', 'tahtaya', 'yazdı.']",öne sürmek,literal,"[1, 2]"
synth_idiomatic_adım atmak_0,tr,O da sonunda adım atmak zorunda kaldı.,"['O', 'da', 'sonunda', 'adım', 'atmak', 'zorunda', 'kaldı.']",adım atmak,idiomatic,"[3, 4]"
synth_idiomatic_adım atmak_1,tr,adım atmak yüzünden tartışma çıktı.,"['adım', 'atmak', 'yüzünden', 'tartışma', 'çıktı.']",adım atmak,idiomatic,"[0, 1]"
synth_literal_adım atmak_0,tr,Sınavda adım atmak deyimini açıklaması istendi.,"['Sınavda', 'adım', 'atmak', 'deyimini', 'açıklaması', 'istendi.']",adım atmak,literal,"[1, 2]"
synth_literal_adım atmak_1,tr,Öğretmen adım atmak örneğini tahtaya yazdı.,"['Öğretmen', 'adım', 'atmak', 'örneğini', 'tahtaya', 'yazdı.']",adım atmak,literal,"[1, 2]"
synth_idiomatic_başa geçmek_0,tr,O da sonunda başa geçmek zorunda kaldı.,"['O', 'da', 'sonunda', 'başa', 'geçmek', 'zorunda', 'kaldı.']",başa geçmek,idiomatic,"[3, 4]"
synth_idiomatic_başa geçmek_1,tr,başa geçmek yüzünden tartışma çıktı.,"['başa', 'geçmek', 'yüzünden', 'tartışma', 'çıktı.']",başa geçmek,idiomatic,"[0, 1]"
synth_literal_başa geçmek_0,tr,Cümlede geçen başa geçmek kısmını vurguladı.,"['Cümlede', 'geçen', 'başa', 'geçmek', 'kısmını', 'vurguladı.']",başa geçmek,literal,"[2, 3]"
synth_literal_başa geçmek_1,tr,Sınavda başa geçmek deyimini açıklaması istendi.,"['Sınavda', 'başa', 'geçmek', 'deyimini', 'açıklaması', 'istendi.']",başa geçmek,literal,"[1, 2]"
synth_idiomatic_Avere il becco lungo_0,it,Alcuni pensano che Avere il becco lungo sia necessario.,"['Alcuni', 'pensano', 'che', 'Avere', 'il', 'becco', 'lungo', 'sia', 'necessario.']",Avere il becco lungo,idiomatic,"[3, 4, 5, 6]"
synth_idiomatic_Avere il becco lungo_1,it,"A causa di Avere il becco lungo, è nata una discussione.","['A', 'causa', 'di', 'Avere', 'il', 'becco', 'lungo,', 'è', 'nata', 'una', 'discussione.']",Avere il becco lungo,idiomatic,"[3, 4, 5, 6]"
synth_literal_Avere il becco lungo_0,it,L'insegnante ha scritto l'esempio Avere il becco lungo alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Avere', 'il', 'becco', 'lungo', 'alla', 'lavagna.']",Avere il becco lungo,literal,"[4, 5, 6, 7]"
synth_literal_Avere il becco lungo_1,it,Nel test è stato chiesto di spiegare Avere il becco lungo.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Avere', 'il', 'becco', 'lungo.']",Avere il becco lungo,literal,"[7, 8, 9, 10]"
synth_idiomatic_Prendere con le pinze_0,it,Si comportano sempre come se fossero Prendere con le pinze.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Prendere', 'con', 'le', 'pinze.']",Prendere con le pinze,idiomatic,"[6, 7, 8, 9]"
synth_idiomatic_Prendere con le pinze_1,it,Alla fine è stato costretto a Prendere con le pinze.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Prendere', 'con', 'le', 'pinze.']",Prendere con le pinze,idiomatic,"[6, 7, 8, 9]"
synth_literal_Prendere con le pinze_0,it,Ha cercato la parola Prendere con le pinze nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Prendere', 'con', 'le', 'pinze', 'nel', 'dizionario.']",Prendere con le pinze,literal,"[4, 5, 6, 7]"
synth_literal_Prendere con le pinze_1,it,Ha evidenziato la parte Prendere con le pinze nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Prendere', 'con', 'le', 'pinze', 'nella', 'frase.']",Prendere con le pinze,literal,"[4, 5, 6, 7]"
synth_idiomatic_Brancolare nel buio_0,it,Alla fine è stato costretto a Brancolare nel buio.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Brancolare', 'nel', 'buio.']",Brancolare nel buio,idiomatic,"[6, 7, 8]"
synth_idiomatic_Brancolare nel buio_1,it,"A causa di Brancolare nel buio, è nata una discussione.","['A', 'causa', 'di', 'Brancolare', 'nel', 'buio,', 'è', 'nata', 'una', 'discussione.']",Brancolare nel buio,idiomatic,"[3, 4, 5]"
synth_literal_Brancolare nel buio_0,it,Ha evidenziato la parte Brancolare nel buio nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Brancolare', 'nel', 'buio', 'nella', 'frase.']",Brancolare nel buio,literal,"[4, 5, 6]"
synth_literal_Brancolare nel buio_1,it,L'insegnante ha scritto l'esempio Brancolare nel buio alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Brancolare', 'nel', 'buio', 'alla', 'lavagna.']",Brancolare nel buio,literal,"[4, 5, 6]"
synth_idiomatic_mandare a casa_0,it,Si comportano sempre come se fossero mandare a casa.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'mandare', 'a', 'casa.']",mandare a casa,idiomatic,"[6, 7, 8]"
synth_idiomatic_mandare a casa_1,it,Alla fine è stato costretto a mandare a casa.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'mandare', 'a', 'casa.']",mandare a casa,idiomatic,"[6, 7, 8]"
synth_literal_mandare a casa_0,it,Ha evidenziato la parte mandare a casa nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'mandare', 'a', 'casa', 'nella', 'frase.']",mandare a casa,literal,"[4, 5, 6]"
synth_literal_mandare a casa_1,it,L'insegnante ha scritto l'esempio mandare a casa alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'mandare', 'a', 'casa', 'alla', 'lavagna.']",mandare a casa,literal,"[4, 5, 6]"
synth_idiomatic_Essere su un binario morto_0,it,Si comportano sempre come se fossero Essere su un binario morto.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Essere', 'su', 'un', 'binario', 'morto.']",Essere su un binario morto,idiomatic,"[6, 7, 8, 9, 10]"
synth_idiomatic_Essere su un binario morto_1,it,"A causa di Essere su un binario morto, è nata una discussione.","['A', 'causa', 'di', 'Essere', 'su', 'un', 'binario', 'morto,', 'è', 'nata', 'una', 'discussione.']",Essere su un binario morto,idiomatic,"[3, 4, 5, 6, 7]"
synth_literal_Essere su un binario morto_0,it,Ha evidenziato la parte Essere su un binario morto nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Essere', 'su', 'un', 'binario', 'morto', 'nella', 'frase.']",Essere su un binario morto,literal,"[4, 5, 6, 7, 8]"
synth_literal_Essere su un binario morto_1,it,Ha cercato la parola Essere su un binario morto nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Essere', 'su', 'un', 'binario', 'morto', 'nel', 'dizionario.']",Essere su un binario morto,literal,"[4, 5, 6, 7, 8]"
synth_idiomatic_Andare a gonfie vele_0,it,Si comportano sempre come se fossero Andare a gonfie vele.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Andare', 'a', 'gonfie', 'vele.']",Andare a gonfie vele,idiomatic,"[6, 7, 8, 9]"
synth_idiomatic_Andare a gonfie vele_1,it,"A causa di Andare a gonfie vele, è nata una discussione.","['A', 'causa', 'di', 'Andare', 'a', 'gonfie', 'vele,', 'è', 'nata', 'una', 'discussione.']",Andare a gonfie vele,idiomatic,"[3, 4, 5, 6]"
synth_literal_Andare a gonfie vele_0,it,Ha cercato la parola Andare a gonfie vele nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Andare', 'a', 'gonfie', 'vele', 'nel', 'dizionario.']",Andare a gonfie vele,literal,"[4, 5, 6, 7]"
synth_literal_Andare a gonfie vele_1,it,Ha evidenziato la parte Andare a gonfie vele nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Andare', 'a', 'gonfie', 'vele', 'nella', 'frase.']",Andare a gonfie vele,literal,"[4, 5, 6, 7]"
synth_idiomatic_Voltare la faccia_0,it,"A causa di Voltare la faccia, è nata una discussione.","['A', 'causa', 'di', 'Voltare', 'la', 'faccia,', 'è', 'nata', 'una', 'discussione.']",Voltare la faccia,idiomatic,"[3, 4, 5]"
synth_idiomatic_Voltare la faccia_1,it,Alla fine è stato costretto a Voltare la faccia.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Voltare', 'la', 'faccia.']",Voltare la faccia,idiomatic,"[6, 7, 8]"
synth_literal_Voltare la faccia_0,it,L'insegnante ha scritto l'esempio Voltare la faccia alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Voltare', 'la', 'faccia', 'alla', 'lavagna.']",Voltare la faccia,literal,"[4, 5, 6]"
synth_literal_Voltare la faccia_1,it,Nel test è stato chiesto di spiegare Voltare la faccia.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Voltare', 'la', 'faccia.']",Voltare la faccia,literal,"[7, 8, 9]"
synth_idiomatic_Tirare su_0,it,Alla fine è stato costretto a Tirare su.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Tirare', 'su.']",Tirare su,idiomatic,"[6, 7]"
synth_idiomatic_Tirare su_1,it,Si comportano sempre come se fossero Tirare su.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Tirare', 'su.']",Tirare su,idiomatic,"[6, 7]"
synth_literal_Tirare su_0,it,Nel test è stato chiesto di spiegare Tirare su.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Tirare', 'su.']",Tirare su,literal,"[7, 8]"
synth_literal_Tirare su_1,it,Ha evidenziato la parte Tirare su nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Tirare', 'su', 'nella', 'frase.']",Tirare su,literal,"[4, 5]"
synth_idiomatic_Mettere dentro_0,it,Alla fine è stato costretto a Mettere dentro.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Mettere', 'dentro.']",Mettere dentro,idiomatic,"[6, 7]"
synth_idiomatic_Mettere dentro_1,it,Alcuni pensano che Mettere dentro sia necessario.,"['Alcuni', 'pensano', 'che', 'Mettere', 'dentro', 'sia', 'necessario.']",Mettere dentro,idiomatic,"[3, 4]"
synth_literal_Mettere dentro_0,it,Ha evidenziato la parte Mettere dentro nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Mettere', 'dentro', 'nella', 'frase.']",Mettere dentro,literal,"[4, 5]"
synth_literal_Mettere dentro_1,it,Nel test è stato chiesto di spiegare Mettere dentro.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Mettere', 'dentro.']",Mettere dentro,literal,"[7, 8]"
synth_idiomatic_dare corda_0,it,Si comportano sempre come se fossero dare corda.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'dare', 'corda.']",dare corda,idiomatic,"[6, 7]"
synth_idiomatic_dare corda_1,it,Alcuni pensano che dare corda sia necessario.,"['Alcuni', 'pensano', 'che', 'dare', 'corda', 'sia', 'necessario.']",dare corda,idiomatic,"[3, 4]"
synth_literal_dare corda_0,it,Ha evidenziato la parte dare corda nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'dare', 'corda', 'nella', 'frase.']",dare corda,literal,"[4, 5]"
synth_literal_dare corda_1,it,Ha cercato la parola dare corda nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'dare', 'corda', 'nel', 'dizionario.']",dare corda,literal,"[4, 5]"
synth_idiomatic_Avere il mestolo in mano_0,it,"A causa di Avere il mestolo in mano, è nata una discussione.","['A', 'causa', 'di', 'Avere', 'il', 'mestolo', 'in', 'mano,', 'è', 'nata', 'una', 'discussione.']",Avere il mestolo in mano,idiomatic,"[3, 4, 5, 6, 7]"
synth_idiomatic_Avere il mestolo in mano_1,it,Alla fine è stato costretto a Avere il mestolo in mano.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Avere', 'il', 'mestolo', 'in', 'mano.']",Avere il mestolo in mano,idiomatic,"[6, 7, 8, 9, 10]"
synth_literal_Avere il mestolo in mano_0,it,Ha cercato la parola Avere il mestolo in mano nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Avere', 'il', 'mestolo', 'in', 'mano', 'nel', 'dizionario.']",Avere il mestolo in mano,literal,"[4, 5, 6, 7, 8]"
synth_literal_Avere il mestolo in mano_1,it,L'insegnante ha scritto l'esempio Avere il mestolo in mano alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Avere', 'il', 'mestolo', 'in', 'mano', 'alla', 'lavagna.']",Avere il mestolo in mano,literal,"[4, 5, 6, 7, 8]"
synth_idiomatic_avere birra in corpo_0,it,Si comportano sempre come se fossero avere birra in corpo.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'avere', 'birra', 'in', 'corpo.']",avere birra in corpo,idiomatic,"[6, 7, 8, 9]"
synth_idiomatic_avere birra in corpo_1,it,Alcuni pensano che avere birra in corpo sia necessario.,"['Alcuni', 'pensano', 'che', 'avere', 'birra', 'in', 'corpo', 'sia', 'necessario.']",avere birra in corpo,idiomatic,"[3, 4, 5, 6]"
synth_literal_avere birra in corpo_0,it,Ha evidenziato la parte avere birra in corpo nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'avere', 'birra', 'in', 'corpo', 'nella', 'frase.']",avere birra in corpo,literal,"[4, 5, 6, 7]"
synth_literal_avere birra in corpo_1,it,Nel test è stato chiesto di spiegare avere birra in corpo.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'avere', 'birra', 'in', 'corpo.']",avere birra in corpo,literal,"[7, 8, 9, 10]"
synth_idiomatic_Bollire in pentola_0,it,Alcuni pensano che Bollire in pentola sia necessario.,"['Alcuni', 'pensano', 'che', 'Bollire', 'in', 'pentola', 'sia', 'necessario.']",Bollire in pentola,idiomatic,"[3, 4, 5]"
synth_idiomatic_Bollire in pentola_1,it,Si comportano sempre come se fossero Bollire in pentola.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Bollire', 'in', 'pentola.']",Bollire in pentola,idiomatic,"[6, 7, 8]"
synth_literal_Bollire in pentola_0,it,L'insegnante ha scritto l'esempio Bollire in pentola alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Bollire', 'in', 'pentola', 'alla', 'lavagna.']",Bollire in pentola,literal,"[4, 5, 6]"
synth_literal_Bollire in pentola_1,it,Ha cercato la parola Bollire in pentola nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Bollire', 'in', 'pentola', 'nel', 'dizionario.']",Bollire in pentola,literal,"[4, 5, 6]"
synth_idiomatic_Raggiungere il bersaglio_0,it,Si comportano sempre come se fossero Raggiungere il bersaglio.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Raggiungere', 'il', 'bersaglio.']",Raggiungere il bersaglio,idiomatic,"[6, 7, 8]"
synth_idiomatic_Raggiungere il bersaglio_1,it,"A causa di Raggiungere il bersaglio, è nata una discussione.","['A', 'causa', 'di', 'Raggiungere', 'il', 'bersaglio,', 'è', 'nata', 'una', 'discussione.']",Raggiungere il bersaglio,idiomatic,"[3, 4, 5]"
synth_literal_Raggiungere il bersaglio_0,it,Ha cercato la parola Raggiungere il bersaglio nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Raggiungere', 'il', 'bersaglio', 'nel', 'dizionario.']",Raggiungere il bersaglio,literal,"[4, 5, 6]"
synth_literal_Raggiungere il bersaglio_1,it,L'insegnante ha scritto l'esempio Raggiungere il bersaglio alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Raggiungere', 'il', 'bersaglio', 'alla', 'lavagna.']",Raggiungere il bersaglio,literal,"[4, 5, 6]"
synth_idiomatic_Coltivare il proprio orto_0,it,Alla fine è stato costretto a Coltivare il proprio orto.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Coltivare', 'il', 'proprio', 'orto.']",Coltivare il proprio orto,idiomatic,"[6, 7, 8, 9]"
synth_idiomatic_Coltivare il proprio orto_1,it,"A causa di Coltivare il proprio orto, è nata una discussione.","['A', 'causa', 'di', 'Coltivare', 'il', 'proprio', 'orto,', 'è', 'nata', 'una', 'discussione.']",Coltivare il proprio orto,idiomatic,"[3, 4, 5, 6]"
synth_literal_Coltivare il proprio orto_0,it,Ha cercato la parola Coltivare il proprio orto nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Coltivare', 'il', 'proprio', 'orto', 'nel', 'dizionario.']",Coltivare il proprio orto,literal,"[4, 5, 6, 7]"
synth_literal_Coltivare il proprio orto_1,it,L'insegnante ha scritto l'esempio Coltivare il proprio orto alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Coltivare', 'il', 'proprio', 'orto', 'alla', 'lavagna.']",Coltivare il proprio orto,literal,"[4, 5, 6, 7]"
synth_idiomatic_Buttare al vento_0,it,"A causa di Buttare al vento, è nata una discussione.","['A', 'causa', 'di', 'Buttare', 'al', 'vento,', 'è', 'nata', 'una', 'discussione.']",Buttare al vento,idiomatic,"[3, 4, 5]"
synth_idiomatic_Buttare al vento_1,it,Alla fine è stato costretto a Buttare al vento.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Buttare', 'al', 'vento.']",Buttare al vento,idiomatic,"[6, 7, 8]"
synth_literal_Buttare al vento_0,it,Ha evidenziato la parte Buttare al vento nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Buttare', 'al', 'vento', 'nella', 'frase.']",Buttare al vento,literal,"[4, 5, 6]"
synth_literal_Buttare al vento_1,it,Nel test è stato chiesto di spiegare Buttare al vento.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Buttare', 'al', 'vento.']",Buttare al vento,literal,"[7, 8, 9]"
synth_idiomatic_Gettare la spugna_0,it,Alcuni pensano che Gettare la spugna sia necessario.,"['Alcuni', 'pensano', 'che', 'Gettare', 'la', 'spugna', 'sia', 'necessario.']",Gettare la spugna,idiomatic,"[3, 4, 5]"
synth_idiomatic_Gettare la spugna_1,it,Si comportano sempre come se fossero Gettare la spugna.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Gettare', 'la', 'spugna.']",Gettare la spugna,idiomatic,"[6, 7, 8]"
synth_literal_Gettare la spugna_0,it,Ha evidenziato la parte Gettare la spugna nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Gettare', 'la', 'spugna', 'nella', 'frase.']",Gettare la spugna,literal,"[4, 5, 6]"
synth_literal_Gettare la spugna_1,it,Nel test è stato chiesto di spiegare Gettare la spugna.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Gettare', 'la', 'spugna.']",Gettare la spugna,literal,"[7, 8, 9]"
synth_idiomatic_essere tra i piedi_0,it,Si comportano sempre come se fossero essere tra i piedi.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'essere', 'tra', 'i', 'piedi.']",essere tra i piedi,idiomatic,"[6, 7, 8, 9]"
synth_idiomatic_essere tra i piedi_1,it,"A causa di essere tra i piedi, è nata una discussione.","['A', 'causa', 'di', 'essere', 'tra', 'i', 'piedi,', 'è', 'nata', 'una', 'discussione.']",essere tra i piedi,idiomatic,"[3, 4, 5, 6]"
synth_literal_essere tra i piedi_0,it,Nel test è stato chiesto di spiegare essere tra i piedi.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'essere', 'tra', 'i', 'piedi.']",essere tra i piedi,literal,"[7, 8, 9, 10]"
synth_literal_essere tra i piedi_1,it,Ha cercato la parola essere tra i piedi nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'essere', 'tra', 'i', 'piedi', 'nel', 'dizionario.']",essere tra i piedi,literal,"[4, 5, 6, 7]"
synth_idiomatic_aprire gli occhi_0,it,Alcuni pensano che aprire gli occhi sia necessario.,"['Alcuni', 'pensano', 'che', 'aprire', 'gli', 'occhi', 'sia', 'necessario.']",aprire gli occhi,idiomatic,"[3, 4, 5]"
synth_idiomatic_aprire gli occhi_1,it,Alla fine è stato costretto a aprire gli occhi.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'aprire', 'gli', 'occhi.']",aprire gli occhi,idiomatic,"[6, 7, 8]"
synth_literal_aprire gli occhi_0,it,Ha evidenziato la parte aprire gli occhi nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'aprire', 'gli', 'occhi', 'nella', 'frase.']",aprire gli occhi,literal,"[4, 5, 6]"
synth_literal_aprire gli occhi_1,it,L'insegnante ha scritto l'esempio aprire gli occhi alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'aprire', 'gli', 'occhi', 'alla', 'lavagna.']",aprire gli occhi,literal,"[4, 5, 6]"
synth_idiomatic_Aver le mani lunghe_0,it,Alla fine è stato costretto a Aver le mani lunghe.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Aver', 'le', 'mani', 'lunghe.']",Aver le mani lunghe,idiomatic,"[6, 7, 8, 9]"
synth_idiomatic_Aver le mani lunghe_1,it,Si comportano sempre come se fossero Aver le mani lunghe.,"['Si', 'comportano', 'sempre', 'come', 'se', 'fossero', 'Aver', 'le', 'mani', 'lunghe.']",Aver le mani lunghe,idiomatic,"[6, 7, 8, 9]"
synth_literal_Aver le mani lunghe_0,it,L'insegnante ha scritto l'esempio Aver le mani lunghe alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Aver', 'le', 'mani', 'lunghe', 'alla', 'lavagna.']",Aver le mani lunghe,literal,"[4, 5, 6, 7]"
synth_literal_Aver le mani lunghe_1,it,Nel test è stato chiesto di spiegare Aver le mani lunghe.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Aver', 'le', 'mani', 'lunghe.']",Aver le mani lunghe,literal,"[7, 8, 9, 10]"
synth_idiomatic_Avere le batterie scariche_0,it,"A causa di Avere le batterie scariche, è nata una discussione.","['A', 'causa', 'di', 'Avere', 'le', 'batterie', 'scariche,', 'è', 'nata', 'una', 'discussione.']",Avere le batterie scariche,idiomatic,"[3, 4, 5, 6]"
synth_idiomatic_Avere le batterie scariche_1,it,Alcuni pensano che Avere le batterie scariche sia necessario.,"['Alcuni', 'pensano', 'che', 'Avere', 'le', 'batterie', 'scariche', 'sia', 'necessario.']",Avere le batterie scariche,idiomatic,"[3, 4, 5, 6]"
synth_literal_Avere le batterie scariche_0,it,Ha cercato la parola Avere le batterie scariche nel dizionario.,"['Ha', 'cercato', 'la', 'parola', 'Avere', 'le', 'batterie', 'scariche', 'nel', 'dizionario.']",Avere le batterie scariche,literal,"[4, 5, 6, 7]"
synth_literal_Avere le batterie scariche_1,it,L'insegnante ha scritto l'esempio Avere le batterie scariche alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Avere', 'le', 'batterie', 'scariche', 'alla', 'lavagna.']",Avere le batterie scariche,literal,"[4, 5, 6, 7]"
synth_idiomatic_abbaiare alla luna_0,it,Alla fine è stato costretto a abbaiare alla luna.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'abbaiare', 'alla', 'luna.']",abbaiare alla luna,idiomatic,"[6, 7, 8]"
synth_idiomatic_abbaiare alla luna_1,it,"A causa di abbaiare alla luna, è nata una discussione.","['A', 'causa', 'di', 'abbaiare', 'alla', 'luna,', 'è', 'nata', 'una', 'discussione.']",abbaiare alla luna,idiomatic,"[3, 4, 5]"
synth_literal_abbaiare alla luna_0,it,Ha evidenziato la parte abbaiare alla luna nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'abbaiare', 'alla', 'luna', 'nella', 'frase.']",abbaiare alla luna,literal,"[4, 5, 6]"
synth_literal_abbaiare alla luna_1,it,L'insegnante ha scritto l'esempio abbaiare alla luna alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'abbaiare', 'alla', 'luna', 'alla', 'lavagna.']",abbaiare alla luna,literal,"[4, 5, 6]"
synth_idiomatic_Ingoiare una pillola_0,it,"A causa di Ingoiare una pillola, è nata una discussione.","['A', 'causa', 'di', 'Ingoiare', 'una', 'pillola,', 'è', 'nata', 'una', 'discussione.']",Ingoiare una pillola,idiomatic,"[3, 4, 5]"
synth_idiomatic_Ingoiare una pillola_1,it,Alla fine è stato costretto a Ingoiare una pillola.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Ingoiare', 'una', 'pillola.']",Ingoiare una pillola,idiomatic,"[6, 7, 8]"
synth_literal_Ingoiare una pillola_0,it,L'insegnante ha scritto l'esempio Ingoiare una pillola alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Ingoiare', 'una', 'pillola', 'alla', 'lavagna.']",Ingoiare una pillola,literal,"[4, 5, 6]"
synth_literal_Ingoiare una pillola_1,it,Ha evidenziato la parte Ingoiare una pillola nella frase.,"['Ha', 'evidenziato', 'la', 'parte', 'Ingoiare', 'una', 'pillola', 'nella', 'frase.']",Ingoiare una pillola,literal,"[4, 5, 6]"
synth_idiomatic_Portare a casa_0,it,Alla fine è stato costretto a Portare a casa.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Portare', 'a', 'casa.']",Portare a casa,idiomatic,"[6, 7, 8]"
synth_idiomatic_Portare a casa_1,it,Alcuni pensano che Portare a casa sia necessario.,"['Alcuni', 'pensano', 'che', 'Portare', 'a', 'casa', 'sia', 'necessario.']",Portare a casa,idiomatic,"[3, 4, 5]"
synth_literal_Portare a casa_0,it,L'insegnante ha scritto l'esempio Portare a casa alla lavagna.,"[""L'insegnante"", 'ha', 'scritto', ""l'esempio"", 'Portare', 'a', 'casa', 'alla', 'lavagna.']",Portare a casa,literal,"[4, 5, 6]"
synth_literal_Portare a casa_1,it,Nel test è stato chiesto di spiegare Portare a casa.,"['Nel', 'test', 'è', 'stato', 'chiesto', 'di', 'spiegare', 'Portare', 'a', 'casa.']",Portare a casa,literal,"[7, 8, 9]"
synth_idiomatic_Aver la coda di paglia_0,it,Alla fine è stato costretto a Aver la coda di paglia.,"['Alla', 'fine', 'è', 'stato', 'costretto', 'a', 'Aver', 'la', 'coda', 'di', 'paglia.']",Aver la coda di paglia,idiomatic,"[6, 7, 8, 9, 10]"
synth_idiomatic_Aver la coda di paglia_1,it,Alcuni pensano che Aver la coda di paglia sia necessario.,"['Alcuni', 'pensano', 'che', 'Aver', 'la', 'coda', 'di', 'paglia', 'sia', 'necessario.']",Aver la coda di paglia,idiomatic,"[3, 4, 5, 6, 7]"
